web-scraper-order,web-scraper-start-url,pagination-selector,Image véhicule-src,Prix,Description,Carburant,Ville,Titre,Kilometrage
"1760567122-1","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/autos-prod-ads/images/2b/2bc22877-2094-49b4-bc9e-3bd73198663c?rule=kijijica-400-webp","17 990 $","AM/FM/HD, écran couleur large de 8,8 po avec MAZDA CONNECT, commutateur HMI Commander, Mazda Harmonic Acoustics avec 8 haut-parleurs, Apple CarPlay et Android Auto, 2 ports USB, commandes ...","Essence","Longueuil/Rive Sud","","128570 km"
"1760567122-2","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/04/04649831-1f53-43dd-8fb8-a4484950691a?rule=kijijica-400-webp","39 222 $","Moteur 4 cylindres i-VTEC de 2.0L, 16 soupapes, injection dans l'admission DACT, dévloppant 158 chevaux, 138 lb-pi de couple, transmission à variation continue, suspension indépendante aux quatre ...","Essence","Longueuil/Rive Sud","2026 Honda HR-V SPORT AWD, TOIT OUVRANT, CARPLAY ET ANDROID AUTO","10 km"
"1760567122-3","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/09/09d2ffdd-41bc-477f-bcd9-0718c58c8e19?rule=kijijica-400-webp","5 500 $","Vente en l’état Nissan MICRA SV 2015 161000km Caméra de recul Bluetooth Vitres électriques Inspection réalisée Entretient fait Freins avant neufs Link kit avant neuf Tuyaux de transmission neufs ...","Autre","Laval/Rive Nord","Nissan Micra SV 2015","161000 km"
"1760567122-4","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/autos-prod-ads/images/a1/a145d5bb-21a1-4bd6-a59d-da89a3734d0b?rule=kijijica-400-webp","22 295 $","Modele Populaire!! Balance de Garantie / Inspection Certifié / LS / Carplay et Android / Camera Recul / Bluetooth Ce véhicule est éligible au programme certifié ainsi qu'à une possibilité d'un taux à ...","Automatique","Ville de Montréal","","56547 km"
"1760567122-5","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/autos-prod-ads/images/b2/b299efc3-af28-4dab-b87b-c9a8fbe56738?rule=kijijica-400-webp","22 990 $","Pratique et Economique / Retour De Location / Inspection Certifié / LT / Carplay et Android / Camera Recul / Cruise / Ce véhicule est éligible au programme certifié ainsi qu'à une possibilité d'un ...","Automatique","Ville de Montréal","","60077 km"
"1760567122-6","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/autos-prod-ads/images/75/756491dc-f44e-4e02-b9b1-74de6d87b5a7?rule=kijijica-400-webp","36 690 $","Modele Rare!! Bas KM / Aucun Accident / Inspection 155 Points / AWD ZR2 / Camera Recul / Carplay / 3.6L V6 / Ce véhicule est éligible au programme certifié ainsi qu'à une possibilité d'un taux à ...","Automatique","Ville de Montréal","","105477 km"
"1760567122-7","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0f6bafd0-f503-4329-a04a-8f62e5f94929?rule=kijijica-400-webp","4 990 $","","Automatique","Ville de Montréal","2012 Mitsubishi Outlander AWD","175000 km"
"1760567122-8","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/da/dacf31b0-a4d1-406b-9141-c0dfcd55e72a?rule=kijijica-400-webp","44 995 $","Automatique à 6 vitesses (RWD), 82,000 km (certifié), Édition ""NPR HD GAS REG"", Jamais accidenté (rapport historique ""Carfax à l'appui), 3 passagers, Air climatisé, Audio haut de gamme, Plateforme ...","Essence","Ville de Montréal","","82000 km"
"1760567122-9","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/autos-prod-ads/images/02/02c27cad-9ad6-4839-ac55-ecb661b8d7fb?rule=kijijica-400-webp","12 995 $","Automatique, 149,000 km (certifié), Édition ""LT"", Air climatisé automatique, , Audio haut de gamme, Caméra de recul, Connectivité ""Bluetooth"", Démarrage sans clé, Démarreur à distance, Jantes ...","Véhicule hybride","Ville de Montréal","","149000 km"
"1760567122-10","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/autos-prod-ads/images/2f/2f996aa9-b589-42b2-84cf-6e53d883d496?rule=kijijica-400-webp","21 995 $","Automatique - RWD, 123,000 km (certifié), Édition ""Standard Range Plus"", Jamais accidenté (rapport historique ""Carfax"" à l'appui), 5 passagers, Air climatisé automatique multi-zone, Autonomie ...","Électrique","Ville de Montréal","","123000 km"
"1760567122-11","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/autos-prod-ads/images/72/7256675d-a6b1-4382-ab17-6f766170f00a?rule=kijijica-400-webp","23 995 $","Automatique à 9 vitesses (AWD), 175,000 km (certifié), Jamais accidenté (rapport historique ""Carfax"" à l'appui), Air climatisé automatique multi-zone, Attelage pour remorque (""hitch""), Caméra de ...","Diesel","Ville de Montréal","","175000 km"
"1760567122-12","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/af/af21ee92-0f9c-4d8c-aaa4-d885dd7cf22a?rule=kijijica-400-webp","41 995 $","Automatique à 10 vitesses (AWD), 25,000 km (certifié), Édition ""Platinum Elite SH-AWD"", Jamais accidenté (rapport historique ""Carfax à l'appui), Air climatisé automatisé multi-zone, Affichage à tête ...","Essence","Ville de Montréal","","25000 km"
"1760567122-13","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/autos-prod-ads/images/7a/7a48a30e-5b7b-4d07-a9c3-77a365ad932b?rule=kijijica-400-webp","29 995 $","Automatique à 8 vitesses (AWD), 134,000 km (certifié), Édition ""Technik S-line"", Jamais accidenté (rapport historique ""Carfax"" à l'appui), 7 passagers, Aileron, Air climatisé automatique 2 zones, ...","Essence","Ville de Montréal","","134000 km"
"1760567122-14","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/autos-prod-ads/images/71/71d8f07c-03b1-4ca1-83b1-c1faf22c0223?rule=kijijica-400-webp","13 995 $","Manuel 6 vitesses (FWD), 107,000 km (certifié), Édition ""SV 2018.5"", Jamais accidenté (rapport historique ""Carfax à l'appui), Air climatisé, Audio haut de gamme compatible avec ""Apple Carplay"", ...","Essence","Ville de Montréal","","107000 km"
"1760567122-15","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/autos-prod-ads/images/4b/4bdcba47-587b-45b3-9f3a-018983521c51?rule=kijijica-400-webp","39 995 $","Automatique 6 vitesses, 7,000 km (certifié), Édition ""GT"" Jamais accidenté (rapport historique ""Carfax"" à l'appui), Aileron, Air climatisé automatique, Audio haut de gamme compatible avec ""Apple ...","Essence","Ville de Montréal","","7000 km"
"1760567122-16","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/40/40994705-dec1-4e14-8a8a-7de05c1d3b07?rule=kijijica-400-webp","8 500 $","Toyota scion frs 2013 Automatique avec paddle shitf 94 000 miles(151 000 kilos) Ligne exaust Invidia ,beau son Entrée d'air Aftermarket marque inconnue Aileron Aftermarket Coils skunk 2 Mags 18"" et ...","Essence","Québec","Toyota scion frs 2013","150000 km"
"1760567122-17","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/ec/ec564163-ae1c-4dbc-903b-c70b01760c4c?rule=kijijica-400-webp","5 699 $","2014 Chevrolet Trax 1.4 L AWD 4x4 Automatique 173 000 KM . MODÈLE 1.4 L AWD 4x4 . Écran Multimedia Caméra de Recul Groupe Électrique Complet Climatiseur Commandes aux volant AWD 4x4 . Plus de 1200 ...","Essence","Laval/Rive Nord","2014 Chevrolet Trax LT ( AWD 4x4 - 170 000 KM )","170000 km"
"1760567122-18","https://www.kijiji.ca/b-autos-camions/quebec/c174l9001?view=list","","https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/d8/d8efc535-f2b7-4b57-9dec-48b91ce69b3c?rule=kijijica-400-webp","5 399 $","2013 Mazda Mazda5 5 GS Automatique 189 000 KM . TRÈS PROPRE - PAS DE ROUILLE ENTRETENU CHEZ MAZDA JUSQU'EN 2023 . Groupe Électrique 4 Cylindres Modèle GS . Plus de 1200 véhicules vendus en 2023. Plus ...","Essence","Laval/Rive Nord","2013 Mazda Mazda5 GS ( AUTOMATIQUE - 189 000 KM )","189000 km"
